GENE	SYMBOL	LOG10P_fib	P_fib	LOG10P_endo	P_endo	sig_fib	sig_endo	both_sig
23345	SYNE1	37.2780493123844	5.2717e-38	40.48981705274216	3.2373e-41	True	True	True
9687	GREB1	17.098007993359154	7.9798e-18	15.89384311303316	1.2769e-16	True	True	True
54361	WNT4	9.301029995663981	5e-10	10.570910160787427	2.6859e-11	True	True	True
2099	ESR1	8.643763742710233	2.2711e-09	13.866588844088978	1.3596e-14	True	True	True
22979	EFR3B	8.33872696955694	4.5843e-09	6.569618529717061	2.6939e-07	True	True	True
7432	VIP	7.597411944588799	2.5269e-08	10.521087361070695	3.0124e-11	True	True	True
401944	LDLRAD2	7.242710280069547	5.7186e-08	6.834132731647057	1.4651e-07	True	True	True
26052	DNM3	7.049508575991543	8.9226e-08	6.247721014539882	5.653e-07	True	True	True
389072	PLEKHM3	6.376885154892676	4.1987e-07	5.928523032301082	1.1789e-06	True	True	True
120534	ARL14EP	6.364023929806167	4.3249e-07	14.169257398959072	6.7724e-15	True	True	True
