Exposure,Outcome,N_instruments,IVW_OR,IVW_CI,IVW_P,WM_OR,WM_CI,WM_P,Egger_OR,Egger_CI,Egger_P_slope,Egger_intercept_P,Cochran_Q,Cochran_Q_P,IVW_FDR_P,IVW_FDR_Sig,Conclusion
Endometriosis,type2_diabetes,36,1.025,0.983–1.069,0.2476,1.005,0.967–1.044,0.8139,0.995,0.887–1.116,0.9293,0.5835,109.714,0.0,0.458883333333333,False,Null
Endometriosis,irritable_bowel_syndrome,36,1.075,1.011–1.144,0.0217,1.092,1.01–1.18,0.0271,1.107,0.936–1.309,0.2427,0.7177,49.803,0.05,0.11935,False,Null
Endometriosis,depression,36,1.005,0.979–1.032,0.7103,1.002,0.965–1.041,0.9227,1.003,0.935–1.077,0.9251,0.9641,34.511,0.4916,0.919211764705883,False,Null
Endometriosis,anxiety,36,1.027,0.984–1.072,0.226,1.03,0.967–1.098,0.3542,0.972,0.865–1.092,0.635,0.3246,40.631,0.2362,0.458883333333333,False,Null
Endometriosis,pcos,36,0.932,0.791–1.099,0.4033,0.914,0.744–1.122,0.3898,0.708,0.457–1.099,0.1328,0.1954,54.885,0.0174,0.682507692307692,False,Null
Endometriosis,ovarian_cyst,36,1.507,1.423–1.595,0.0,1.433,1.344–1.529,0.0,1.576,1.352–1.837,0.0,0.5386,79.082,0.0,0.0,True,FDR-significant
Endometriosis,obesity,36,1.001,0.955–1.049,0.9754,0.981,0.928–1.037,0.4887,0.928,0.819–1.052,0.2506,0.2123,62.513,0.0029,0.9912,False,Null
Endometriosis,hypertension,36,1.043,1.011–1.077,0.0081,1.044,1.013–1.077,0.005,1.031,0.947–1.124,0.4844,0.7805,85.353,0.0,0.0594,False,Null
Endometriosis,osteoarthritis,36,0.969,0.931–1.009,0.1292,0.945,0.912–0.98,0.0023,0.959,0.858–1.071,0.4603,0.838,114.998,0.0,0.406057142857143,False,Null
Endometriosis,osteoporosis,36,1.022,0.935–1.117,0.6351,1.058,0.952–1.175,0.2988,0.907,0.713–1.154,0.4314,0.3025,79.235,0.0,0.8732625,False,Null
Endometriosis,coeliac_disease,36,0.92,0.798–1.061,0.2503,0.832,0.736–0.94,0.0031,1.057,0.718–1.558,0.7793,0.4526,104.542,0.0,0.458883333333333,False,Null
Endometriosis,migraine,36,1.052,1.003–1.104,0.0391,1.047,0.989–1.107,0.1119,1.013,0.889–1.154,0.8452,0.5487,55.258,0.016,0.143366666666667,False,Null
Endometriosis,fibromyalgia,36,0.986,0.879–1.106,0.8105,0.915,0.784–1.069,0.264,0.786,0.581–1.063,0.1277,0.1225,43.199,0.1609,0.938473684210526,False,Null
Endometriosis,dyslipidaemia,36,1.036,0.984–1.091,0.1778,1.006,0.964–1.05,0.7812,0.981,0.853–1.129,0.7917,0.4175,118.583,0.0,0.434622222222222,False,Null
Endometriosis,nafld,36,1.015,0.915–1.127,0.7731,1.055,0.909–1.224,0.4806,0.802,0.605–1.063,0.1334,0.0857,28.792,0.7611,0.938473684210526,False,Null
Endometriosis,psoriasis,36,0.983,0.925–1.045,0.5845,0.987,0.913–1.067,0.7371,1.048,0.888–1.236,0.5823,0.4206,47.757,0.0737,0.857266666666667,False,Null
Endometriosis,vitamin_d_deficiency,36,1.187,0.934–1.508,0.1604,1.324,0.944–1.858,0.104,1.236,0.649–2.354,0.524,0.8959,27.371,0.8177,0.434622222222222,False,Null
Endometriosis,interstitial_cystitis,36,0.558,0.329–0.947,0.0307,0.553,0.259–1.18,0.1256,0.192,0.046–0.806,0.0306,0.1262,30.819,0.6702,0.13508,False,Null
Endometriosis,ptsd,36,0.991,0.892–1.1,0.8588,0.988,0.85–1.148,0.8713,0.887,0.669–1.176,0.4108,0.4147,28.65,0.7671,0.94468,False,Null
Uterine_Fibroids,type2_diabetes,127,1.015,0.99–1.04,0.2406,1.011,0.982–1.042,0.4587,0.998,0.956–1.041,0.911,0.3334,277.526,0.0,0.35288,False,Null
Uterine_Fibroids,irritable_bowel_syndrome,127,1.022,0.982–1.063,0.2813,1.02,0.965–1.077,0.489,0.929,0.87–0.992,0.0289,0.0006,148.834,0.0806,0.364035294117647,False,Null
Uterine_Fibroids,depression,127,1.04,1.018–1.062,0.0003,1.033,1.005–1.062,0.0187,1.027,0.99–1.065,0.1542,0.407,173.455,0.0033,0.00132,True,FDR-significant
Uterine_Fibroids,anxiety,127,1.032,1.004–1.061,0.0239,1.025,0.984–1.067,0.2419,1.001,0.955–1.05,0.9523,0.1258,116.231,0.7223,0.0594,False,Null
Uterine_Fibroids,pcos,127,1.462,1.246–1.716,0.0,1.365,1.161–1.606,0.0002,1.786,1.361–2.344,0.0001,0.0782,401.106,0.0,0.0,True,FDR-significant
Uterine_Fibroids,ovarian_cyst,127,1.373,1.304–1.446,0.0,1.31,1.248–1.375,0.0,1.475,1.352–1.611,0.0,0.0509,495.75,0.0,0.0,True,FDR-significant
Uterine_Fibroids,obesity,127,1.028,0.999–1.058,0.0568,1.029,0.991–1.069,0.1355,1.018,0.969–1.069,0.4891,0.6173,175.262,0.0025,0.1136,False,Null
Uterine_Fibroids,hypertension,127,1.077,1.047–1.108,0.0,1.037,1.01–1.065,0.0075,1.064,1.013–1.118,0.0147,0.5602,528.34,0.0,0.0,True,FDR-significant
Uterine_Fibroids,osteoarthritis,127,1.004,0.984–1.024,0.6915,0.999,0.974–1.024,0.9191,0.986,0.953–1.021,0.4365,0.2168,206.839,0.0,0.6915,False,Null
Uterine_Fibroids,osteoporosis,127,0.947,0.902–0.994,0.0288,0.965,0.902–1.033,0.3094,1.006,0.925–1.093,0.8959,0.0864,177.646,0.0017,0.06336,False,Null
Uterine_Fibroids,coeliac_disease,127,0.853,0.791–0.92,0.0,0.829,0.752–0.913,0.0002,0.843,0.739–0.962,0.0124,0.84,218.062,0.0,0.0,True,FDR-significant
Uterine_Fibroids,migraine,127,1.024,0.992–1.058,0.1472,1.024,0.981–1.068,0.281,0.963,0.912–1.018,0.1856,0.0081,193.427,0.0001,0.249107692307692,False,Null
Uterine_Fibroids,fibromyalgia,127,0.954,0.888–1.025,0.1956,0.902,0.81–1.003,0.0567,0.888,0.784–1.004,0.061,0.1641,117.61,0.6909,0.307371428571429,False,Null
Uterine_Fibroids,dyslipidaemia,127,0.976,0.955–0.997,0.0243,0.963,0.932–0.994,0.0211,0.953,0.919–0.988,0.0103,0.1152,149.917,0.0719,0.0594,False,Null
Uterine_Fibroids,nafld,127,1.07,0.995–1.15,0.0666,1.093,0.979–1.221,0.115,0.987,0.872–1.119,0.8426,0.1244,117.662,0.6897,0.1221,False,Null
Uterine_Fibroids,psoriasis,127,0.978,0.933–1.026,0.3722,1.025,0.966–1.088,0.4206,1.012,0.931–1.099,0.7852,0.3354,220.584,0.0,0.454911111111111,False,Null
Uterine_Fibroids,vitamin_d_deficiency,127,0.935,0.792–1.106,0.434,1.0,0.775–1.288,0.9974,0.955,0.716–1.273,0.7527,0.8654,130.551,0.3725,0.458228571428571,False,Null
Uterine_Fibroids,interstitial_cystitis,127,1.167,0.813–1.675,0.4013,1.27,0.737–2.19,0.3891,1.603,0.859–2.99,0.1407,0.2239,109.066,0.8591,0.458228571428571,False,Null
Uterine_Fibroids,ptsd,127,1.029,0.957–1.106,0.4374,1.058,0.949–1.18,0.3095,1.06,0.936–1.201,0.358,0.5632,99.206,0.9626,0.458228571428571,False,Null
