protein,outcome,method,n_snps,OR,CI_lo,CI_hi,beta,se,pval,egger_intercept_p,cochran_Q_p,FDR,logfc_fib,PP.H4,coloc_call,direction_consistent,evidence_tier
TFPI,Hypertension,IVW,1,0.7497,0.63,0.8921,-0.28809,0.08873,0.001168,NA,NA,0.008176,-0.037,7e-4,No evidence (H4<0.20),Consistent (both negative),Tier 3: FDR-sig + Consistent (no/pending coloc)
FLT3LG,Hypertension,IVW,1,1.0966,1.0221,1.1766,0.09223,0.03591,0.01022,NA,NA,0.035769999999999996,-0.053,0.0184,No evidence (H4<0.20),Discordant,Tier 4: FDR-sig only (direction discordant or no coloc)
TNFSF11,Hypertension,IVW,1,0.9331,0.8783,0.9912,-0.06929,0.03083,0.02459,NA,NA,0.05737666666666667,0.082,0.0045,No evidence (H4<0.20),Discordant,Non-significant
FGF23,Depression,IVW,2,0.9478,0.9106,0.9865,-0.05361,0.02042,0.008649,NA,NA,0.060543,0.118,0.003,No evidence (H4<0.20),Discordant,Non-significant
TNFSF11,Ovarian cancer,IVW,1,0.5424,0.3399,0.8656,-0.61175,0.23849,0.01032,NA,NA,0.07224,0.082,0.0045,No evidence (H4<0.20),Discordant,Non-significant
TFPI,Ovarian cancer,IVW,1,0.2538,0.0664,0.9697,-1.37108,0.68385,0.04497,NA,NA,0.157395,-0.037,7e-4,No evidence (H4<0.20),Consistent (both negative),Non-significant
FLT3LG,Depression,IVW,1,1.0973,1.0016,1.202,0.09282,0.04653,0.04603,NA,NA,0.161105,-0.053,0.0184,No evidence (H4<0.20),Discordant,Non-significant
CDH3,Breast cancer,IVW,1,1.1521,1.0137,1.3093,0.14158,0.06527,0.03008,NA,NA,0.21056,0.062,0.0067,No evidence (H4<0.20),Consistent (both positive),Non-significant
LPL,PCOS,IVW,2,1.0395,0.9972,1.0835,0.03871,0.02117,0.06743,NA,NA,0.47201000000000004,-0.057,0.0082,No evidence (H4<0.20),Discordant,Non-significant
LPL,Depression,IVW,2,0.9751,0.9373,1.0145,-0.02517,0.02019,0.2125,NA,NA,0.48832,-0.057,0.0082,No evidence (H4<0.20),Consistent (both negative),Non-significant
CDH3,Depression,IVW,1,0.9598,0.8879,1.0375,-0.04104,0.03971,0.3014,NA,NA,0.48832,0.062,0.0067,No evidence (H4<0.20),Discordant,Non-significant
