LOC,CHR,START,STOP,n_snps,K,phen1,phen2,rho,rho.lower,rho.upper,r2,r2.lower,r2.upper,p,p_fdr
block_1075,6,152376500,153082361,2929,405,Endometriosis,Uterine_Fibroids,1,0.9396,1,1,0.8828,1,6.73e-97,1.82e-95
block_0024,1,22145630,22740287,2854,382,Endometriosis,Uterine_Fibroids,1,0.8531,1,1,0.7278,1,7.24e-36,9.77e-35
block_1076,6,153082362,153791461,2761,371,Endometriosis,Uterine_Fibroids,0.9635,0.8342,1,0.9284,0.6959,1,1.12e-28,1.01e-27
block_1074,6,151629955,152376499,3123,398,Endometriosis,Uterine_Fibroids,0.8886,0.7552,1,0.7897,0.5703,1,6.29e-27,4.25e-26
block_1642,11,29530461,30570129,3341,388,Endometriosis,Uterine_Fibroids,1,0.7563,1,1,0.572,1,1.13e-13,6.09e-13
block_1644,11,32065772,32830422,3123,381,Endometriosis,Uterine_Fibroids,0.9588,0.698,1,0.9193,0.4872,1,4.22e-12,1.9e-11
block_0652,4,55681702,57103100,5697,426,Endometriosis,Uterine_Fibroids,0.9729,0.6451,1,0.9464,0.4162,1,3.71e-08,1.43e-07
block_1370,9,10469,653661,2760,378,Endometriosis,Uterine_Fibroids,1,0.5655,1,1,0.3198,1,1.32e-07,4.47e-07
block_1415,9,38822978,43903829,1164,393,Endometriosis,Uterine_Fibroids,1,0.36,1,1,0.1296,1,0.000217,0.00065
block_1783,12,43980532,44923825,3446,359,Endometriosis,Uterine_Fibroids,1,0.3082,1,1,0.0964,1,0.00131,0.00354
block_1882,13,39381744,40091623,3115,370,Endometriosis,Uterine_Fibroids,0.6552,0.2497,1,0.4293,0.0625,1,0.00247,0.00606
block_1260,8,16988031,17492672,2935,400,Endometriosis,Uterine_Fibroids,1,0.1346,1,1,0.0298,1,0.009,0.0189
block_0877,5,120371858,120960737,2959,345,Endometriosis,Uterine_Fibroids,1,0.1023,1,1,0.0288,1,0.00912,0.0189
block_1709,11,101152832,101881252,3060,351,Endometriosis,Uterine_Fibroids,1,0.0438,1,1,0.0167,1,0.0127,0.0246
